Fecha,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
2023-12-01 04:50:00,0.954,5.076,4.356,4.275,6.8775,7.035,0.774,9.975,0.348,8.53125
2023-12-01 04:55:00,1.044,4.806,4.536,4.8,6.93,6.615,0.768,8.715,0.396,8.53125
2023-12-01 05:00:00,0.972,4.986,4.104,4.875,6.7725,6.8775,0.774,9.5025,0.348,8.295
2023-12-01 05:05:00,0.978,4.644,4.284,4.65,7.1925,6.6675,0.768,9.345,0.384,8.53125
2023-12-01 05:10:00,1.074,5.562,4.32,4.5,7.035,6.8775,0.768,8.7675,0.348,8.79375
2023-12-01 05:15:00,0.978,6.066,4.482,4.575,7.1925,6.615,0.774,9.45,0.348,8.0325
2023-12-01 05:20:00,1.02,6.282,4.734,4.65,7.245,6.72,0.768,10.7625,0.36,8.295
2023-12-01 05:25:00,1.032,6.966,4.95,4.35,7.1925,6.825,0.768,10.5525,0.396,7.875
2023-12-01 05:30:00,0.972,6.732,4.95,4.65,7.14,7.5075,0.774,9.24,0.348,8.47875
2023-12-01 05:35:00,1.05,6.57,4.554,4.2,6.6675,7.5075,0.768,10.605,0.36,8.19
2023-12-01 05:40:00,1.032,7.92,4.932,5.1,6.7725,7.56,0.774,9.135,0.348,8.21625
2023-12-01 05:45:00,0.984,7.47,4.644,4.65,6.72,7.7175,0.768,9.7125,0.396,8.84625
2023-12-01 05:50:00,1.08,6.786,4.536,5.025,6.615,7.8225,0.768,9.45,0.348,8.9775
2023-12-01 05:55:00,0.966,7.578,4.626,5.475,6.7725,7.035,0.774,10.08,0.348,9.66
2023-12-01 06:00:00,0.972,7.38,4.536,5.475,6.5625,7.5075,0.768,10.3425,0.36,9.84375
2023-12-01 06:05:00,1.074,6.588,4.428,4.95,6.72,7.035,0.774,10.4475,0.36,10.92
2023-12-01 06:10:00,0.984,6.804,4.194,5.475,6.72,7.2975,0.768,11.4975,0.384,11.55
2023-12-01 06:15:00,0.966,6.624,3.942,4.95,6.825,7.4025,0.768,11.6025,0.36,12.6
2023-12-01 06:20:00,1.062,7.65,4.068,5.4,6.825,7.1925,0.774,11.235,0.372,12.2325
2023-12-01 06:25:00,0.972,8.334,4.068,4.875,7.245,7.455,0.768,12.495,0.444,13.36125
2023-12-01 06:30:00,0.966,7.974,4.374,5.175,7.9275,8.0325,0.81,13.65,0.888,14.72625
2023-12-01 06:35:00,1.08,7.74,5.076,4.95,7.98,10.4475,0.978,13.23,0.924,15.2775
2023-12-01 06:40:00,0.882,8.496,5.49,5.4,8.295,10.8675,0.972,11.97,0.96,14.67375
2023-12-01 06:45:00,0.834,7.902,5.76,4.2,9.03,10.92,0.972,12.1275,0.924,14.0175
2023-12-01 06:50:00,0.852,8.244,5.598,4.575,9.345,10.92,0.972,11.655,0.936,14.30625
2023-12-01 06:55:00,0.792,7.902,5.94,4.2,9.8175,10.3425,0.972,13.02,0.912,14.41125
2023-12-01 07:00:00,0.87,7.146,6.012,4.875,9.555,10.71,0.972,12.5475,0.9,14.5425
2023-12-01 07:05:00,0.798,7.668,6.174,5.625,9.45,10.395,0.972,12.6525,0.924,14.91
2023-12-01 07:10:00,0.798,7.578,6.282,6.75,10.5,10.185,0.966,13.1775,0.972,14.14875
2023-12-01 07:15:00,0.864,7.56,6.03,7.2,10.605,10.7625,0.972,12.705,1.068,14.41125
2023-12-01 07:20:00,0.786,7.74,5.832,7.65,10.5525,11.445,0.966,12.495,1.02,13.755
2023-12-01 07:25:00,0.786,7.848,6.066,8.025,11.025,11.235,0.972,13.335,1.068,13.125
2023-12-01 07:30:00,0.87,7.344,6.696,8.4,10.605,10.8675,0.978,13.4925,1.056,14.7
2023-12-01 07:35:00,0.798,8.082,6.462,8.025,10.815,10.605,0.966,12.6525,0.912,14.83125
2023-12-01 07:40:00,0.798,8.136,6.408,7.875,11.9175,10.71,0.978,12.7575,0.792,14.7525
2023-12-01 07:45:00,0.864,8.406,6.588,8.25,12.18,11.235,0.972,12.3375,0.828,14.09625
2023-12-01 07:50:00,0.774,9.054,7.002,7.95,11.2875,11.235,0.876,13.44,0.804,14.49
2023-12-01 07:55:00,0.816,8.46,6.894,7.275,11.8125,11.34,0.828,13.7025,0.828,14.6475
2023-12-01 08:00:00,0.81,8.19,7.038,7.575,11.34,11.4975,0.822,12.9675,0.816,14.25375
2023-12-01 08:05:00,0.78,8.694,7.128,8.1,11.2875,11.235,0.828,14.28,0.792,14.595
2023-12-01 08:10:00,0.864,8.55,7.218,7.65,11.34,11.13,0.828,14.4375,0.84,14.62125
2023-12-01 08:15:00,0.78,7.794,7.308,7.575,12.285,11.13,0.822,14.49,0.864,15.40875
2023-12-01 08:20:00,0.786,8.46,7.182,7.425,12.2325,11.025,0.822,14.1225,1.032,14.7
2023-12-01 08:25:00,0.876,8.226,7.38,8.55,11.55,11.2875,0.816,15.33,1.08,14.91
2023-12-01 08:30:00,0.786,7.506,7.542,7.725,13.2825,11.3925,0.822,15.3825,0.996,14.09625
2023-12-01 08:35:00,0.792,8.55,6.912,7.725,12.5475,11.4975,0.816,13.65,1.008,14.67375
2023-12-01 08:40:00,0.882,8.766,6.876,7.8,12.7575,11.34,0.828,14.4375,0.972,13.99125
2023-12-01 08:45:00,0.786,8.838,6.84,7.725,12.18,11.3925,0.828,14.5425,0.996,11.9175
2023-12-01 08:50:00,0.804,8.982,7.002,7.725,11.8125,11.3925,0.816,13.9125,1.056,12.36375
2023-12-01 08:55:00,0.87,9.09,7.02,7.725,11.1825,11.7075,0.822,15.3825,0.828,13.67625
2023-12-01 09:00:00,0.774,8.226,6.876,8.025,11.76,12.075,0.816,16.0125,0.9,13.7025
2023-12-01 09:05:00,0.822,8.946,7.308,8.1,12.81,11.6025,0.822,14.28,0.852,13.36125
2023-12-01 09:10:00,0.87,9.828,7.092,7.35,11.97,11.2875,0.816,14.2275,0.852,13.09875
2023-12-01 09:15:00,0.786,8.766,7.362,8.025,11.76,11.235,0.822,14.7,0.9,12.18
2023-12-01 09:20:00,0.804,9.396,7.47,7.65,11.8125,11.55,0.816,14.0175,0.9,12.36375
2023-12-01 09:25:00,0.852,8.928,7.956,8.4,11.7075,11.6025,0.816,14.5425,1.032,12.495
2023-12-01 09:30:00,0.786,9.108,7.83,8.4,11.2875,10.605,0.816,14.8575,0.948,12.81
2023-12-01 09:35:00,0.93,9.324,7.776,8.1,11.6025,10.71,0.822,14.9625,0.912,13.125
2023-12-01 09:40:00,0.924,9.756,7.632,8.175,12.285,10.395,0.816,14.385,0.9,13.51875
2023-12-01 09:45:00,0.852,9.126,8.046,7.575,11.9175,11.34,0.834,15.225,0.912,12.8625
2023-12-01 09:50:00,0.876,9.144,7.128,7.425,12.39,11.13,0.84,15.33,0.96,12.285
2023-12-01 09:55:00,0.846,9.576,7.074,7.425,12.3375,11.235,0.822,14.4375,0.936,15.67125
2023-12-01 10:00:00,0.828,9.054,7.074,6.9,12.7575,11.235,0.84,14.91,0.9,15.96
2023-12-01 10:05:00,0.864,8.154,7.416,7.725,12.81,11.445,0.828,13.8075,0.792,16.0125
2023-12-01 10:10:00,0.846,8.856,7.434,6.525,11.9175,11.445,0.816,14.8575,0.84,15.88125
2023-12-01 10:15:00,0.846,8.658,7.434,7.35,12.8625,11.1825,0.822,16.3275,0.78,15.4875
2023-12-01 10:20:00,0.864,8.172,7.524,7.05,12.285,11.34,0.822,14.6475,0.888,15.9075
2023-12-01 10:25:00,0.846,9.306,7.704,7.725,12.2325,11.34,0.816,15.9075,0.936,16.56375
2023-12-01 10:30:00,0.858,10.044,7.722,8.175,11.7075,11.55,0.828,16.0125,0.9,16.24875
2023-12-01 10:35:00,0.87,9.072,7.434,7.875,11.97,11.34,0.828,15.0675,0.996,17.3775
2023-12-01 10:40:00,0.84,9.162,7.47,7.95,12.495,11.7075,0.834,15.015,1.044,17.2725
2023-12-01 10:45:00,0.84,9.792,7.722,7.5,11.6025,11.3925,0.822,15.12,0.972,17.01
2023-12-01 10:50:00,0.858,9.072,7.794,7.725,11.34,11.1825,0.816,14.28,0.984,17.35125
2023-12-01 10:55:00,0.852,8.73,7.92,8.025,11.34,10.8675,0.816,14.1225,1.02,18.6375
2023-12-01 11:00:00,0.93,9.18,7.488,7.5,12.495,10.9725,0.834,14.7,1.032,17.22
2023-12-01 11:05:00,0.936,8.838,7.29,8.625,12.2325,11.1825,0.834,14.7,0.96,17.115
2023-12-01 11:10:00,0.936,9.054,7.2,7.425,12.9675,11.6025,0.834,14.175,0.972,16.9575
2023-12-01 11:15:00,0.924,8.856,7.038,8.175,12.705,11.655,0.816,13.545,1.056,16.6425
2023-12-01 11:20:00,0.924,8.676,7.182,7.65,13.1775,11.34,0.81,14.385,1.068,16.03875
2023-12-01 11:25:00,0.912,9.558,7.272,7.425,12.705,11.1825,0.804,15.4875,1.02,16.72125
2023-12-01 11:30:00,0.918,9.486,7.578,7.95,12.3375,11.445,0.81,14.4375,1.14,16.7475
2023-12-01 11:35:00,0.948,9.18,7.254,7.275,12.3375,11.4975,0.804,14.805,1.44,16.45875
2023-12-01 11:40:00,1.026,9.108,7.092,8.55,12.3375,11.9175,0.804,15.3825,1.476,16.5375
2023-12-01 11:45:00,1.02,9.396,7.272,7.575,11.7075,12.18,0.804,15.3825,1.068,17.82375
2023-12-01 11:50:00,0.978,9.432,6.93,8.025,12.075,11.6025,0.804,16.2225,1.08,16.8
2023-12-01 11:55:00,0.81,9.882,7.254,7.95,11.865,11.4975,0.798,13.8075,1.224,17.2725
2023-12-01 12:00:00,1.02,9.756,6.894,7.425,12.1275,11.3925,0.798,14.7,1.056,16.8
2023-12-01 12:05:00,1.278,8.802,6.408,7.875,11.76,11.445,0.804,15.0675,1.176,17.3775
2023-12-01 12:10:00,0.96,8.19,6.786,7.425,11.4975,11.445,0.798,15.8025,1.14,16.8525
2023-12-01 12:15:00,0.792,8.748,6.876,7.425,11.55,11.55,0.81,14.385,1.212,15.19875
2023-12-01 12:20:00,0.804,9.684,6.75,7.875,11.4975,11.655,0.804,15.015,1.104,14.88375
2023-12-01 12:25:00,0.912,9.702,6.678,6.9,11.1825,11.7075,0.828,15.1725,1.152,15.5925
2023-12-01 12:30:00,0.816,9.378,6.678,7.2,11.8125,11.76,0.798,15.2775,1.572,17.77125
2023-12-01 12:35:00,0.846,9.594,6.552,7.575,12.495,11.865,0.804,13.965,1.752,16.14375
2023-12-01 12:40:00,0.804,9.81,6.3,7.575,12.5475,11.76,0.81,14.5425,1.356,15.19875
2023-12-01 12:45:00,0.948,9.648,6.552,7.875,13.23,11.445,0.81,14.49,1.284,14.51625
2023-12-01 12:50:00,0.792,9.774,7.272,7.875,12.5475,11.55,0.804,15.12,1.2,15.2775
2023-12-01 12:55:00,0.918,10.152,7.686,8.025,12.285,10.6575,0.804,16.065,1.128,16.905
2023-12-01 13:00:00,0.972,9.774,7.848,8.7,11.97,10.1325,0.804,15.96,1.284,17.24625
